Raman shift,Intensity
1294.28,0.005708231
1296.209,0.005205446
1298.139,0.00447709
1300.068,0.005093378
1302.027,0.005340973
1303.955,0.006267643
1305.882,0.004775919
1307.84,0.004647477
1309.767,0.004468134
1311.693,0.005564771
1313.619,0.005617153
1315.575,0.006347216
1317.5,0.006284956
1319.425,0.006989133
1321.38,0.0066319
1323.303,0.007377486
1325.227,0.007522569
1327.15,0.007423565
1329.103,0.007862002
1331.025,0.008906588
1332.947,0.009400784
1334.868,0.009285906
1336.819,0.009449402
1338.74,0.008049107
1340.659,0.008517435
1342.579,0.007158603
1344.498,0.0065004
1346.447,0.006491298
1348.366,0.00683071
1350.283,0.006369249
1352.201,0.006287788
1354.118,0.007011444
1356.065,0.007180416
1357.981,0.007093858
1359.897,0.006270828
1361.812,0.006874117
1363.727,0.006527655
1365.672,0.008025463
1367.586,0.00711352
1369.5,0.008130291
1371.413,0.008369057
1373.326,0.007430464
1375.238,0.0069434
1377.18,0.005835766
1379.092,0.005974057
1381.003,0.004213555
1382.914,0.003809181
1384.824,0.003166384
1386.734,0.004157385
1388.643,0.003185154
1390.552,0.002927769
1392.491,0.001626074
1394.399,0.003023082
1396.307,0.002612845
1398.214,0.00205431
1400.121,0.00167525
1402.028,0.001975203
1403.934,0.001299503
1405.839,0.001248408
1407.745,0.001379616
1409.649,0.001402554
1411.584,0.001068153
1413.488,0.000462287
1415.392,0.000721453
1417.295,0.000401392
1419.197,0.000439641
1421.1,-6.88E-06
1423.002,0.00041588
1424.903,-8.13E-05
1426.804,0.00045114
1428.705,0.00045114
1430.605,0.00045114
1432.505,0.000722046
1434.404,0.000981916
1436.303,0.001352406
1438.202,0.001451335
1440.1,0.002701469
1441.998,0.002938575
1443.895,0.003744302
1445.792,0.003591375
1447.689,0.004656891
1449.585,0.004739399
1451.48,0.00315756
1453.376,0.003996481
1455.27,0.00295776
1457.165,0.003841663
1459.059,0.003512057
1460.952,0.00283777
1462.846,0.003360371
1464.738,0.0032248
1466.631,0.003826627
1468.523,0.003247809
1470.414,0.00310578
1472.305,0.003137154
1474.196,0.002716414
1476.086,0.002086879
1477.976,0.001981396
1479.836,0.001554016
1481.725,0.002017093
1483.613,0.001151997
1485.502,0.000620531
1487.389,0.000495682
1489.277,0.00093775
1491.164,-9.01E-05
1493.05,0.000888874
1494.937,-0.000718562
1496.822,-0.000510981
1498.678,-0.001076305
1500.563,-0.000769907
1502.447,-0.000658164
1504.331,-0.001140438
1506.215,-0.001140438
1508.099,-0.001140438
1509.981,-0.001041515
1511.864,-0.001238997
1513.716,-0.001030001
1515.598,-0.001213383
1517.479,-0.000970187
1519.36,-0.000635426
1521.24,-0.000944821
1523.12,-0.000140652
1524.97,-0.000578947
1526.849,-0.000613632
1528.728,-0.000762858
1530.607,0.000227254
1532.485,-6.23E-05
1534.332,0.000335183
1536.21,-0.000309386
1538.086,0.000112401
1539.963,-0.000304599
1541.839,5.42E-05
1543.685,0.001142993
1545.56,0.001540445
1547.435,0.001565754
1549.309,0.001688413
1551.153,0.000986625
1553.027,0.002023972
1554.9,0.001054575
1556.772,0.001881575
1558.615,0.001311602
1560.487,0.000913435
1562.358,0.000863137
1564.23,0.001182182
1566.071,0.002102456
1567.941,0.001660129
1569.811,0.002294252
1571.651,0.002490444
1573.52,0.002847019
1575.388,0.002354869
1577.227,0.003036516
1579.095,0.002650446
1580.962,0.00277832
1582.829,0.001995932
1584.666,0.002195551
1586.533,0.002446793
1588.399,0.002245818
1590.234,0.003048329
1592.099,0.000684759
1593.964,0.001445964
1595.799,0.001839412
1597.663,0.002295948
1599.496,0.002068401
1601.359,0.001806612
1603.222,0.002287815
1605.055,0.002200882
1606.917,0.001799164
1608.778,0.001390408
1610.61,0.002357315
1612.47,0.00207476
1614.301,0.002059993
1616.161,0.001907939
1618.02,0.002596221
1619.85,0.00205938
1621.708,0.002544661
1623.537,0.002225642
1625.395,0.001309871
1627.252,0.000863717
1629.08,0.001748862
1630.937,0.000930811
1632.763,0.001456942
1634.619,0.000812347
1636.445,0.000547193
1638.3,0.002009828
1640.126,0.001628995
1641.98,0.001009254
1643.804,0.002533829
1645.658,0.001540763
1647.481,0.001446725
1649.334,0.0026253
1651.186,0.002332562
1653.009,0.002227461
1654.86,0.002616309
1656.682,0.002676072
1658.533,0.003215468
1660.353,0.003938206
1662.174,0.001935748
1664.024,0.003026594
1665.843,0.002839352
1667.692,0.003407992
1669.511,0.003636086
1671.359,0.002308402
1673.177,0.002699902
1675.024,0.002126774
1676.842,0.001974578
1678.688,0.002844484
1680.505,0.001606094
1682.321,0.002881283
1684.166,0.00229866
1685.981,0.001511448
1687.826,0.001484385
1689.64,0.000811867
1691.484,0.001552193
1693.298,0.001144648
1695.111,0.001325475
1696.954,0.001532145
1698.767,0.000908696
1700.579,0.000289612
1702.42,0.000323297
1704.232,0.000259713
1706.072,-0.00023179
1707.883,0.000650874
1709.693,-2.09E-05
1711.533,-0.000553726
1713.342,-0.000360831
1715.152,0.000144144
1716.99,-0.000495933
1718.798,0.000107885
1720.606,-0.00042047
1722.443,1.17E-05
1724.251,-0.000102971
1726.058,1.72E-05
1727.893,4.24E-06
1729.7,0.000133036
1731.505,-0.000176141
1733.34,-0.000171824
1735.145,0.000127376
1736.95,0.000672794
1738.754,0.000253492
1740.587,5.18E-05
1742.39,0.000472723
1744.194,0.000261023
1745.996,0.000845178
1747.828,0.00021698
1749.63,-0.0002695
1751.431,-0.000551283
1753.233,0.001348345
1755.063,4.74E-05
1756.863,0.000280986
1758.663,0.000153827
1760.463,0.000231362
1762.291,-0.000183487
1764.09,0.00019751
1765.889,0.000143377
1767.687,-4.96E-05
1769.485,0.000344301
1771.311,4.11E-05
1773.108,0.00075279
1774.905,-6.99E-06
1776.701,0.000349707
1778.497,-0.000430103
1780.292,0.000387492
1782.116,0.000397798
1783.911,0.000368028
1785.705,0.000259532
1787.499,0.000463076
1789.293,8.26E-05
1791.086,-0.000322165
1792.879,0.000325102
1794.701,0.000491431
1796.493,1.08E-05
1798.284,0.000165659
